Dataset,Method,Hardness,Spearman Rho,p-value,low_recall
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,post_filter,correlation,0.8787878787878788,0.0008138621117322101,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,Post_Hardness,-0.8060606060606059,0.004862061101964606,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,selectivity,0.3939393939393939,0.25999776683488757,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,correlation,0.9393939393939393,5.484052998513666e-05,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,Post_Hardness,-0.8060606060606059,0.004862061101964606,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,selectivity,0.7212121212121211,0.018573155089460208,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,correlation,0.9151515151515152,0.0002044724061488323,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ACORN,Post_Hardness,-0.8666666666666665,0.0011735381801554687,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ACORN,selectivity,0.7696969696969697,0.009221952722215994,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ACORN,correlation,0.9272727272727272,0.00011203450639397582,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ung,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ung,selectivity,-0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ung,correlation,-0.6242424242424242,0.053717767217167395,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,pre_filter,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,pre_filter,selectivity,-0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,pre_filter,correlation,-0.5878787878787878,0.07387770688865801,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9878787878787878,9.307459988955517e-08,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,selectivity,0.9393939393939393,5.484052998513666e-05,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,correlation,0.4787878787878787,0.1615229280174558,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,Post_Hardness,-0.8303030303030302,0.0029402270232795065,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,selectivity,0.8909090909090909,0.0005421442248338665,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,correlation,0.2121212121212121,0.5563057751029299,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,Post_Hardness,-0.6727272727272726,0.0330412225454377,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,selectivity,-0.06666666666666665,0.8548130882487426,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,correlation,0.8666666666666665,0.0011735381801554687,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,selectivity,0.7818181818181817,0.007547007781067878,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,correlation,0.09090909090909088,0.8027717312071619,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ung,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ung,selectivity,-0.8545454545454544,0.0016368033159867143,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ung,correlation,0.2121212121212121,0.5563057751029299,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,Post_Hardness,0.8303030303030302,0.0029402270232795065,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,selectivity,-0.8424242424242423,0.0022200312259168407,0
glove1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,correlation,-0.24848484848484845,0.48877630451924314,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,selectivity,0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,correlation,0.23636363636363633,0.5108853175152002,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,Post_Hardness,-0.9636363636363635,7.320974809529922e-06,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,selectivity,0.9757575757575757,1.4675461874042197e-06,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,correlation,0.17575757575757575,0.6271883447764844,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,Post_Hardness,-0.6606060606060605,0.03758837757140939,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,selectivity,0.6606060606060605,0.03758837757140939,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,correlation,0.17575757575757575,0.6271883447764844,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9636363636363635,7.320974809529922e-06,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,selectivity,0.8787878787878788,0.0008138621117322101,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,correlation,0.09090909090909088,0.8027717312071619,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
